text,congress,chamber,date,,,,
To pass the Resolution "That Anthony Wayne was not duly elected a member of this House.",Second Congress,House,1792-03-16,,,,
"To amend the Resolution to send the letter of the committee of french public safety to the president with a request to answer it, ""on behalf of the Senate of the united states."" (p. 88)",Third Congress,Senate,1794-04-24,,,,
To pass the Resolution that it is expedient to pass the laws necessary for carrying into effect the treaty lately negotiated between the u.s. and the king of spain.,Fourth Congress,House,1796-04-14,,,,
"To adopt the last paragraph of the Resolution concerning ratification of the treaty with great britian, which recommends to the president to proceed to further friendly negotiations with britain, on the subject of trade.",Fourth Congress,Senate,1795-06-23,,,,
To advise and consent to the ratification of the treaty of peace with the late hostile tribes of indians northwest of the ohio river.,Fourth Congress,Senate,1795-12-22,,,,
To advise and consent to the ratification of the treaty with the dey of algiers.,Fourth Congress,Senate,1796-03-02,,,,
"To amend the Resolution to ratify a treaty with spain, in order to state that said Resolution was passed unanimously.",Fourth Congress,Senate,1796-03-03,,,,
"To consent to the ratification of the treaty of peace and friendship between the united states and the bey and subjects of tripoli, of barbary.",Fifth Congress,Senate,1797-06-07,,,,
To adopt the Resolution to ratify the article explanatory of the fifth article of the treaty of amity and commerce and navigation with england.,Fifth Congress,Senate,1798-06-05,,,,
To pass h.r. 143.,Fifth Congress,Senate,1798-07-02,,,,
To advise and consent to the nomination of george washington to be lieutenant general and commander in chief of the army.,Fifth Congress,Senate,1798-07-03,,,,
"To allow counsel for the defendent, william blount, additional time, in the impeachment proceedings against blount.",Fifth Congress,Senate,1798-12-24,,,,
"To adjourn and allow the managers of the Senate, a week, in order to give an opportunity to file reply, in the impeachment proceedings against william blount.",Fifth Congress,Senate,1799-01-03,,,,
"To advise and consent to the ratification of the treaty with the oneida indians on behalf of the state of new york, made on june 1, 1798.",Fifth Congress,Senate,1799-02-13,,,,
"To advise and consent to the nomination of william vans murray to be an envoy extraordinary and minister plenipotentiary, to the french republic for the discussion and settlement, by a treaty, of all controversies between the united states and france.",Fifth Congress,Senate,1799-02-27,,,,
"To order a second reading of the Senate bill (app. may 13, 1800, 2 stat l. 82) to establish a uniform mode of drawing juries by lot in all the courts of the u.s.",Sixth Congress,Senate,1800-01-31,,,,
"To adopt an additional article to the treaty with france of sept. 30, 1800 agreeing that nothing in the treaty shall be construed or operate contrary to former and existing treaties with other states or sovereigns.",Sixth Congress,Senate,1801-01-09,,,,
"To adopt an additional article to the treaty with france of sept. 30, 1800 which provides that nothing contained in the treaty is to contradict former or existing treaties with other states.",Sixth Congress,Senate,1801-01-15,,,,
"To amend an article to the treaty with france of sept. 30, 1800 to provide that the treaty shall be in force for eight years.",Sixth Congress,Senate,1801-01-15,,,,
To pass the amended corvette berceau Resolution.,Seventh Congress,House,1802-04-06,,,,
"To agree to the section of the navigation on the mississippi Resolution which exonerates the king of spain of any breach of faith, setting the blame on unauthorized individuals.",Seventh Congress,House,1803-01-07,,,,
To agree to the section of the navigation on the mississippi Resolution which expresses determination to maintain boundaries and rights of navigation through the river as established by treaty. (p. 341),Seventh Congress,House,1803-01-07,,,,
"To pass the following Resolution: that john van ness, a member of the House, having accepted and exercised the office of major of militia, in the columbia territory, has thereby forfeited his right to a seat in the House.",Seventh Congress,House,1803-01-17,,,,
"To pass the Resolution to express the thanks of the House to the speaker, nathaniel macon.",Seventh Congress,House,1803-03-03,,,,
"To appoint a committee to inquire whether any, and what amendments are necessary to be made in the act (app. 4-30-02, 2 stat. l. 150), establishing the judicial courts of the u.s. and to report by bill or otherwise.",Seventh Congress,Senate,1802-03-18,,,,
To adopt the Resolution that the Senate advise and consent that the president do ratify the treaty of reciprocal advantage and mutual convenience between the u.s. and the chickasaw nation of indians.,Seventh Congress,Senate,1802-04-29,,,,
"To adopt the Resolution that the Senate advise and consent to have the president ratify the treaty of friendship, limits and accomodations, between the united states and the choctaw nation of indians.",Seventh Congress,Senate,1802-04-29,,,,
"To consent to the ratification of treaty made at albany, n.y., aug. 20, 1802, between the state of n.y., and the seneca tribe of indians.",Seventh Congress,Senate,1802-12-31,,,,
"To consent to the ratification of the treaty, made under the authority of the u.s., between the state of n.y., and the oneida nation of indians on 6-4-02.",Seventh Congress,Senate,1802-12-31,,,,
